Key,Description,Description alternative,Parent,Sibling count
7225990000_80,Other,"Flat-rolled products of other alloy steel, of a width of 600 mm or more (excluding of silicon-electrical steel / other, not further worked than hot-rolled, in coils / other, not further worked than hot-rolled, not in coils / other, not further worked than cold-rolled) (excluding electrolytically plated or coated with zinc / otherwise plated or coated with zinc)","Flat-rolled products of other alloy steel, of a width of 600 mm or more (excluding of silicon-electrical steel / other, not further worked than hot-rolled, in coils / other, not further worked than hot-rolled, not in coils / other, not further worked than cold-rolled)",2
7225990025_80,Other,"Not further worked than surface-treated, including cladding or simply cut into shapes other than rectangular (including square) (excluding painted, varnished or coated with plastics on at least one side, excluding products with a final coating of zinc-dustand excluding products with a substrate with a metallic coating of chromium or tin / other, aluminium killed; plated or coated by hot dip galvanisation with zinc and/or with aluminium, and no other metal; chemically passivated; containing by weight: 0.015% or more but not more than 0.170% of carbon, 0.015% or more but not more than 0.100% of aluminium, not more than 0.045% of niobium, not more than 0.010% of titanium and not more than 0.010% of vanadium; presented in coils, cut-to-length sheets and narrow strips / plated or coated by hot dip galvanisation with magnesium and/or aluminium, whether or not alloyed with zinc, whether or not alloyed with silicon; chemically passivated; with additional surface treatment such as oiling or sealing; containing by weight: not more than 0,5% of carbon, not more than 1,1% of aluminium, not more than 0,12% of niobium, not more than 0,17% of titanium and not more than 0,15% of vanadium; presented in coils, cut-to-length sheets and narrow strips)","Not further worked than surface-treated, including cladding or simply cut into shapes other than rectangular (including square)",3
7225990091_10,Other,"Flat-rolled products of other alloy steel, of a width of 600 mm or more (excluding of silicon-electrical steel / other, not further worked than hot-rolled, in coils / other, not further worked than hot-rolled, not in coils / other, not further worked than cold-rolled) (excluding electrolytically plated or coated with zinc / otherwise plated or coated with zinc) (excluding not further worked than surface-treated, including cladding or simply cut into shapes other than rectangular / other, of a thickness exceeding 10 mm or of a thickness of 4,75 mm or more but not exceeding 10 mm and of a width of 2 050 mm or more)","Flat-rolled products of other alloy steel, of a width of 600 mm or more (excluding of silicon-electrical steel / other, not further worked than hot-rolled, in coils / other, not further worked than hot-rolled, not in coils / other, not further worked than cold-rolled) (excluding electrolytically plated or coated with zinc / otherwise plated or coated with zinc)",2
7225990095_80,Other,"Flat-rolled products of other alloy steel, of a width of 600 mm or more (excluding of silicon-electrical steel / other, not further worked than hot-rolled, in coils / other, not further worked than hot-rolled, not in coils / other, not further worked than cold-rolled) (excluding electrolytically plated or coated with zinc / otherwise plated or coated with zinc) (excluding not further worked than surface-treated, including cladding or simply cut into shapes other than rectangular / other, of a thickness exceeding 10 mm or of a thickness of 4,75 mm or more but not exceeding 10 mm and of a width of 2 050 mm or more) (excluding painted, varnished or coated with plastics on at least one side, excluding so-called 'sandwich panels' of a kind used for building applications and consisting of two outer metal sheets with a stabilising core of insulation material sandwiched between them, excluding those products with a final coating of zinc-dustand excluding products with a substrate with a metallic coating of chromium or tin / other, aluminium killed; plated or coated by hot dip galvanisation with zinc and/or with aluminium, and no other metal; chemically passivated; containing by weight: 0.015% or more but not more than 0.170% of carbon, 0.015% or more but not more than 0.100% of aluminium, not more than 0.045% of niobium, not more than 0.010% of titanium and not more than 0.010% of vanadium; presented in coils, cut-to-length sheets and narrow strips / plated or coated by hot dip galvanisation with magnesium and/or aluminium, whether or not alloyed with zinc, whether or not alloyed with silicon; chemically passivated; with additional surface treatment such as oiling or sealing; containing by weight: not more than 0,5% of carbon, not more than 1,1% of aluminium, not more than 0,12% of niobium, not more than 0,17% of titanium and not more than 0,15% of vanadium; presented in coils, cut-to-length sheets and narrow strips)","Flat-rolled products of other alloy steel, of a width of 600 mm or more (excluding of silicon-electrical steel / other, not further worked than hot-rolled, in coils / other, not further worked than hot-rolled, not in coils / other, not further worked than cold-rolled) (excluding electrolytically plated or coated with zinc / otherwise plated or coated with zinc) (excluding not further worked than surface-treated, including cladding or simply cut into shapes other than rectangular / other, of a thickness exceeding 10 mm or of a thickness of 4,75 mm or more but not exceeding 10 mm and of a width of 2 050 mm or more)",3
7226910000_10,Other,"Flat-rolled products of other alloy steel, of a width of less than 600 mm (excluding of silicon-electrical steel / of high-speed steel)","Flat-rolled products of other alloy steel, of a width of less than 600 mm",2
7226990000_80,Other,"Flat-rolled products of other alloy steel, of a width of less than 600 mm (excluding of silicon-electrical steel / of high-speed steel) (excluding not further worked than hot-rolled / not further worked than cold-rolled)","Flat-rolled products of other alloy steel, of a width of less than 600 mm (excluding of silicon-electrical steel / of high-speed steel)",2
7226993090_80,Other,"Otherwise plated or coated with zinc (excluding aluminium killed; plated or coated by hot dip galvanisation with zinc and/or with aluminium, and no other metal; chemically passivated; containing by weight: 0.015% or more but not more than 0.170% of carbon, 0.015% or more but not more than 0.100% of aluminium, not more than 0.045% of niobium, not more than 0.010% of titanium and not more than 0.010% of vanadium; presented in coils, cut-to-length sheets and narrow strips / plated or coated by hot dip galvanisation, whether or not alloyed with silicon; chemically passivated; with or without any additional surface treatment such as oiling or sealing; containing by weight: not more than 0,5% of carbon, not more than 1,1% of aluminium, not more than 0,12% of niobium, not more than 0,17% of titanium and not more than 0,15% of vanadium; presented in coils, cut-to-length sheets and narrow strips)",Otherwise plated or coated with zinc,2
7226997000_80,Other,"Flat-rolled products of other alloy steel, of a width of less than 600 mm (excluding of silicon-electrical steel / of high-speed steel) (excluding not further worked than hot-rolled / not further worked than cold-rolled) (excluding electrolytically plated or coated with zinc / otherwise plated or coated with zinc)","Flat-rolled products of other alloy steel, of a width of less than 600 mm (excluding of silicon-electrical steel / of high-speed steel) (excluding not further worked than hot-rolled / not further worked than cold-rolled)",2
7226997019_80,Other,"Of a width not exceeding 500 mm, hot-rolled, not further worked than clad; of a width exceeding 500 mm, not further worked than surface-treated, including cladding (excluding painted, varnished or coated with plastics on at least one side, excluding products with a final coating of zinc-dustand excluding products with a substrate with a metallic coating of chromium or tin / plated or coated by hot dip galvanisation with magnesium and/or aluminium, whether or not alloyed with zinc, whether or not alloyed with silicon; chemically passivated; with or without additional surface treatment such as oiling or sealing; containing by weight: not more than 0,5% of carbon, not more than 1,1% of aluminium, not more than 0,12% of niobium, not more than 0,17% of titanium and not more than 0,15% of vanadium; presented in coils, cut-to-length sheets and narrow strips)","Of a width not exceeding 500 mm, hot-rolled, not further worked than clad; of a width exceeding 500 mm, not further worked than surface-treated, including cladding",2
7226997096_80,Other,"Other than of a width not exceeding 500 mm, hot-rolled, not further worked than clad; of a width exceeding 500 mm, not further worked than surface-treated, including cladding (excluding painted, varnished or coated with plastics on at least one side, excluding so-called 'sandwich panels' of a kind used for building applications and consisting of two outer metal sheets with a stabilising core of insulation material sandwiched between them, excluding those products with a final coating of zinc-dustand excluding products with a substrate with a metallic coating of chromium or tin / plated or coated by hot dip galvanisation with magnesium and/or aluminium, whether or not alloyed with zinc, whether or not alloyed with silicon; chemically passivated; with or without additional surface treatment such as oiling or sealing; containing by weight: not more than 0,5% of carbon, not more than 1,1% of aluminium, not more than 0,12% of niobium, not more than 0,17% of titanium and not more than 0,15% of vanadium; presented in coils, cut-to-length sheets and narrow strips / other, aluminium killed; plated or coated by hot dip galvanisation with zinc and/or with aluminium, and no other metal; chemically passivated; containing by weight: 0.015% or more but not more than 0.170% of carbon, 0.015% or more but not more than 0.100% of aluminium, not more than 0.045% of niobium, not more than 0.010% of titanium and not more than 0.010% of vanadium; presented in coils, cut-to-length sheets and narrow strips)","Other than of a width not exceeding 500 mm, hot-rolled, not further worked than clad; of a width exceeding 500 mm, not further worked than surface-treated, including cladding",3
