Key,Description,Description alternative,Parent,Sibling count
2933491090_80,Other,"Halogen derivatives of quinoline; quinolinecarboxylic acid derivatives (excluding quinmerac / 3-Hydroxy-2-methylquinoline-4-carboxylic acid / ethyl 4-oxo-1,4-dihydroquinoline-3-carboxylate / 4,7-Dichloroquinoline / 1-Cyclopropyl-6,7,8-trifluoro-1,4-dihydro-4-oxo-3-quinolinecarboxylic acid)",Halogen derivatives of quinoline; quinolinecarboxylic acid derivatives,5
2933499000_80,Other,Other than levorphanol (INN) and its salts (excluding halogen derivatives of quinoline; quinolinecarboxylic acid derivatives / dextromethorphanand its salts),Other than levorphanol (INN) and its salts,2
2933499090_80,Other,"Other than levorphanol (INN) and its salts (excluding halogen derivatives of quinoline; quinolinecarboxylic acid derivatives / dextromethorphanand its salts) (excluding cloquintocet-mexyl / quinoline / 6,7-Dimethoxy-3,4- dihydroisoquinoline hydrochloride / 2--5,7-dichloro-1,2,3,4-tetrahydroisoquinoline-6-carboxylic acidwith a purity by weight of 98 % or more / quinolin-8-ol)",Other than levorphanol (INN) and its salts (excluding halogen derivatives of quinoline; quinolinecarboxylic acid derivatives / dextromethorphanand its salts),5
2933590000_80,Other,"Compounds containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure (excluding malonylureaand its salts / allobarbital , amobarbital , barbital , butalbital , butobarbital, cyclobarbital , methylphenobarbital , pentobarbital , phenobarbital , secbutabarbital , secobarbitaland vinylbital ; salts thereof / other derivatives of malonylurea ; salts thereof / loprazolam , mecloqualone , methaqualoneand zipeprol ; salts thereof)",Compounds containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure,4
2933599500_80,Other,"Compounds containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure (excluding malonylureaand its salts / allobarbital , amobarbital , barbital , butalbital , butobarbital, cyclobarbital , methylphenobarbital , pentobarbital , phenobarbital , secbutabarbital , secobarbitaland vinylbital ; salts thereof / other derivatives of malonylurea ; salts thereof / loprazolam , mecloqualone , methaqualoneand zipeprol ; salts thereof) (excluding diazinon / 1,4-Diazabicyclo[2.2.2]octane)","Compounds containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure (excluding malonylureaand its salts / allobarbital , amobarbital , barbital , butalbital , butobarbital, cyclobarbital , methylphenobarbital , pentobarbital , phenobarbital , secbutabarbital , secobarbitaland vinylbital ; salts thereof / other derivatives of malonylurea ; salts thereof / loprazolam , mecloqualone , methaqualoneand zipeprol ; salts thereof)",2
2933599590_80,Other,"Compounds containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure (excluding malonylureaand its salts / allobarbital , amobarbital , barbital , butalbital , butobarbital, cyclobarbital , methylphenobarbital , pentobarbital , phenobarbital , secbutabarbital , secobarbitaland vinylbital ; salts thereof / other derivatives of malonylurea ; salts thereof / loprazolam , mecloqualone , methaqualoneand zipeprol ; salts thereof) (excluding diazinon / 1,4-Diazabicyclo[2.2.2]octane) (excluding 6-Amino-1,3-dimethyluracil / 2-Diethylamino-6-hydroxy-4-methylpyrimidine / sitagliptin phosphate monohydrate / 2,4-Diamino-6-chloropyrimidine / n-benzamide / 6-chloro-1,3-dimethyluracil / 1-piperazine hydrochloride / 5-Fluoro-4-hydrazino-2-methoxypyrimidine / 2-[methoxy]-3-hydroxypropylacetate / 6,8-Difluoro-1--7--4-oxo-1,4-dihydroquinoline-3-carboxylic acid / 2-Amino-4- benzoic acid tert-butyl esterwith a purity by weight of 95 % or more / mepanipyrim / 4,6-Dichloro-5-fluoropyrimidine / 6-Iodo-3-propyl-2-thioxo-2,3-dihydroquinazolin-4-one / ibrutinib / 2-Chloropyrimidinewith a purity by weight of 98 % or more / 1-[3-pyridin-2-yl]-4-methyl-2-phenylpiperazine / 6-Methyl-2-oxoperhydropyrimidin-4-ylureawith a purity of 94 % or more / 2-ethanol / 6-Benzyladeninewith a purity by weight of 97 % or more / 2,6-Dichloro-4,8-dipiperidinopyrimido[5,4-d]pyrimidine / 1- piperazine / 1-Chloromethyl-4-fluoro-1,4-diazoniabicyclo[2.2.2]octane bis / guaninewith a purity by weight of 99 % or more / n--D-2-phenylglycine / 3--5,6,7,8-tetrahydro[1,2,4]triazolo[4,3-a]pyrazine hydrochloride / 5-Bromo-2,4-dichloropyrimidine)","Compounds containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure (excluding malonylureaand its salts / allobarbital , amobarbital , barbital , butalbital , butobarbital, cyclobarbital , methylphenobarbital , pentobarbital , phenobarbital , secbutabarbital , secobarbitaland vinylbital ; salts thereof / other derivatives of malonylurea ; salts thereof / loprazolam , mecloqualone , methaqualoneand zipeprol ; salts thereof) (excluding diazinon / 1,4-Diazabicyclo[2.2.2]octane)",27
2933698000_80,Other,"Other than melamine (excluding atrazine ; propazine ; simazine ; hexahydro-1,3,5-trinitro-1,3,5-triazine / methenamine; 2,6-di-tert-butyl-4-[4,6-bis-1,3,5-triazin-2-ylamino]phenol)",Other than melamine,2
2933698090_80,Other,"Other than melamine (excluding atrazine ; propazine ; simazine ; hexahydro-1,3,5-trinitro-1,3,5-triazine / methenamine; 2,6-di-tert-butyl-4-[4,6-bis-1,3,5-triazin-2-ylamino]phenol) (excluding metribuzin with a purity by weight of 93 % or more / 2-Chloro-4,6-dimethoxy-1,3,5-triazine / benzoguanamine / 1,3,5-tris-1,3,5-triazinane-2,4,6-trione / troclosene sodium dihydrate / 1,3,5-Tris[3-propyl]hexahydro-1,3,5-triazine / 2,4,6-Trichloro-1,3,5-triazinewith a purity by weight of 99 % or more / troclosene sodium / 2--1,3,5-triazin-2-yl)-5--phenol / terbutryn / cyanuric acid / 1,3,5-Triazine-2,4,6-trithione, trisodium salt / trichloroisocyanuric acid, also referred to as 'symclosene' under the international non-proprietary name / metamitron / tris-1,3,5-triazinetrione)","Other than melamine (excluding atrazine ; propazine ; simazine ; hexahydro-1,3,5-trinitro-1,3,5-triazine / methenamine; 2,6-di-tert-butyl-4-[4,6-bis-1,3,5-triazin-2-ylamino]phenol)",15
2933790090_80,Other,"Other lactams (excluding ethyl N--L-pyroglutamate / methyl 2-oxo-2,3-dihydro-1H-indole-6-carboxylate / 5-Vinyl-2-pyrrolidone / 1-tert-butyl 2-methyl-5-oxopyrrolidine-1,2-dicarboxylate / 1-phenyl-3H-indol-2-onewith a purity by weight of 99 % or more / 6-Bromo-3-methyl-3H-dibenzisoquinoline-2,7-dione / -3-Amino-4-hydroxypyrrolidin-2-one hydrochloridewith a purity by weight of 98 % or more / 1-Dodecyl-2-pyrrolidonewith a purity by weight of 98 % or more / -N-[methyl]-alpha-ethyl-2-oxo-1-pyrrolidineacetamide L--tartrate)",Other lactams,9
2933910000_10,Other,"Heterocyclic compounds with nitrogen hetero-atom(s) only (excluding compounds containing an unfused pyrazole ringin the structure / compounds containing an unfused imidazole ringin the structure / compounds containing an unfused pyridine ringin the structure / compounds containing in the structure a quinoline or isoquinoline ring-system , not further fused / compounds containing a pyrimidine ringor piperazine ring in the structure / compounds containing an unfused triazine ringin the structure / lactams)",Heterocyclic compounds with nitrogen hetero-atom(s) only,7
2933990000_80,Other,"Heterocyclic compounds with nitrogen hetero-atom(s) only (excluding compounds containing an unfused pyrazole ringin the structure / compounds containing an unfused imidazole ringin the structure / compounds containing an unfused pyridine ringin the structure / compounds containing in the structure a quinoline or isoquinoline ring-system , not further fused / compounds containing a pyrimidine ringor piperazine ring in the structure / compounds containing an unfused triazine ringin the structure / lactams) (excluding alprazolam , camazepam , chlordiazepoxide , clonazepam , clorazepate, delorazepam , diazepam , estazolam , ethyl loflazepate , fludiazepam , flunitrazepam , flurazepam , halazepam , lorazepam , lormetazepam , mazindol , medazepam , midazolam , nimetazepam , nitrazepam , nordazepam , oxazepam , pinazepam , prazepam , pyrovalerone , temazepam , tetrazepamand triazolam ; salts thereof / azinphos-methyl)","Heterocyclic compounds with nitrogen hetero-atom(s) only (excluding compounds containing an unfused pyrazole ringin the structure / compounds containing an unfused imidazole ringin the structure / compounds containing an unfused pyridine ringin the structure / compounds containing in the structure a quinoline or isoquinoline ring-system , not further fused / compounds containing a pyrimidine ringor piperazine ring in the structure / compounds containing an unfused triazine ringin the structure / lactams)",2
2933998000_80,Other,"Heterocyclic compounds with nitrogen hetero-atom(s) only (excluding compounds containing an unfused pyrazole ringin the structure / compounds containing an unfused imidazole ringin the structure / compounds containing an unfused pyridine ringin the structure / compounds containing in the structure a quinoline or isoquinoline ring-system , not further fused / compounds containing a pyrimidine ringor piperazine ring in the structure / compounds containing an unfused triazine ringin the structure / lactams) (excluding alprazolam , camazepam , chlordiazepoxide , clonazepam , clorazepate, delorazepam , diazepam , estazolam , ethyl loflazepate , fludiazepam , flunitrazepam , flurazepam , halazepam , lorazepam , lormetazepam , mazindol , medazepam , midazolam , nimetazepam , nitrazepam , nordazepam , oxazepam , pinazepam , prazepam , pyrovalerone , temazepam , tetrazepamand triazolam ; salts thereof / azinphos-methyl) (excluding indole, 3-methylindole , 6-allyl-6,7-dihydro-5H-dibenz[c,e]azepine , phenindamineand their salts; imipramine hydrochloride / 2,4-Di-tert-butyl-6-phenol)","Heterocyclic compounds with nitrogen hetero-atom(s) only (excluding compounds containing an unfused pyrazole ringin the structure / compounds containing an unfused imidazole ringin the structure / compounds containing an unfused pyridine ringin the structure / compounds containing in the structure a quinoline or isoquinoline ring-system , not further fused / compounds containing a pyrimidine ringor piperazine ring in the structure / compounds containing an unfused triazine ringin the structure / lactams) (excluding alprazolam , camazepam , chlordiazepoxide , clonazepam , clorazepate, delorazepam , diazepam , estazolam , ethyl loflazepate , fludiazepam , flunitrazepam , flurazepam , halazepam , lorazepam , lormetazepam , mazindol , medazepam , midazolam , nimetazepam , nitrazepam , nordazepam , oxazepam , pinazepam , prazepam , pyrovalerone , temazepam , tetrazepamand triazolam ; salts thereof / azinphos-methyl)",2
2933998090_80,Other,"Heterocyclic compounds with nitrogen hetero-atom(s) only (excluding compounds containing an unfused pyrazole ringin the structure / compounds containing an unfused imidazole ringin the structure / compounds containing an unfused pyridine ringin the structure / compounds containing in the structure a quinoline or isoquinoline ring-system , not further fused / compounds containing a pyrimidine ringor piperazine ring in the structure / compounds containing an unfused triazine ringin the structure / lactams) (excluding alprazolam , camazepam , chlordiazepoxide , clonazepam , clorazepate, delorazepam , diazepam , estazolam , ethyl loflazepate , fludiazepam , flunitrazepam , flurazepam , halazepam , lorazepam , lormetazepam , mazindol , medazepam , midazolam , nimetazepam , nitrazepam , nordazepam , oxazepam , pinazepam , prazepam , pyrovalerone , temazepam , tetrazepamand triazolam ; salts thereof / azinphos-methyl) (excluding indole, 3-methylindole , 6-allyl-6,7-dihydro-5H-dibenz[c,e]azepine , phenindamineand their salts; imipramine hydrochloride / 2,4-Di-tert-butyl-6-phenol) (excluding 1,4,7,10-Tetraazacyclododecanewith a purity by weight of 96 % or more / metconazole with a purity by weight of 98 % or more / 4-butanoic acidwith a purity by weight of 98 % or more / prothioconazole with a purity by weight of 98 % or more / 5,7-Difluoro-2--1H-indolewith a purity by weight of 98 % or more / fenbuconazole / myclobutanil / 5-Difluormethoxy-2-mercapto-1-H-benzimidazole / 2--4-methyl-6-phenol / 2--4,6-di-tert-pentylphenol / pyridatewith a purity by weight of 90 % or more / 2--3-propan-1-ol / 2--4,6-bisphenol / 1-methylene)-1H-[1,2,3]triazolo[4,5-b]pyridinium 3-oxide hexafluorophosphate / tebuconazole with a purity by weight of 95 % or more / 1,3-Dihydro-5,6-diamino-2H-benzimidazol-2-one / 6--5-methyl-4,5-dihydro-2H-pyridazin-3-onewith a purity by weight of 95 % or more / 5,6-Dimethylbenzimidazole / quizalofop-P-ethyl / penconazole / 2,4-Dihydro-5-methoxy-4-methyl-3H-1,2,4-triazol-3-on / 3-Chloro-2--6-methoxyquinoxaline / 8-Chloro-5,10-dihydro-11H-dibenzo [b,e] [1,4]diazepin-11-one / -Octahydro-1H-pyrrolo[3,4-b]pyridine / trans-4-Hydroxy-L-proline / 5-[4'-biphenyl-2-yl]-1-trityl-1H-tetrazole / -2,2,4-Trimethylpyrrolidine hydrochloride / maleic hydrazide / -indoline-2-carboxylic acid / paclobutrazol / 5-Amino-6-methyl-2-benzimidazolone / potassium -5--5-azaspiro[2.4]heptane-6-carboxylate / 3--1,2,4-triazole / pyridaben / methyl 3,5-diamino-6-chloropyrazine-2-carboxylate / 2-ethylamine / ipconazole with a purity by weight of 90 % or more / hydrates of Hydroxybenzotriazole / 2-[-methyl]-1H-isoindole-1,3-dionewith a purity by weight of 99 % or more / -8-Benzyl-8-azabicyclooctan-3-one hydrochloride / l-Prolinamide / 1,2,4-Triazolewith a purity by weight of 99 % or more / -3,3-dimethyl-2,3-dihydro-1H-pyrrolo[3,2-b]pyrid-5-yl)methanolwith a purity by weight of 98 % or more / candesartan ethyl ester , / 5--2--9-amino-20--3-amino-1-hydroxy-3-oxopropyl)-2,11,12,15-tetrahydroxy-6--1-hydroxyethyl)-16-methyl-5,8,14,19,22,25-hexaoxotetracosahydro-1H-dipyrrolo[2,1-c:2',1'-l][1,4,7,10,13,16]hexaazacyclohenicosin-23-yl)-1,2-dihydroxyethyl)-2-hydroxyphenyl hydrogen sulphate / 5-Formyl-2,4-dimethyl-1H-pyrrole-3-carboxylic acidwith a purity by weight of 96 % or more / 5--amino)-1-methyl-1H-benzimidazole-2-butanoic acid ethyl esterwith a purity by weight of 98 % or more / 10-Methoxyiminostilbene / 1,4,7-Trimethyl-1,4,7-Triazacyclononane / 5-benzimidazolone / 1-[Bismethylene]-1H-benzotriazolium hexafluorophosphate 3-oxide / 2-Methylindolinewith a purity by weight of 98 % or more / 9-[1,1'-Biphenyl]-3-yl-9'-[1,1'-biphenyl]-4-yl-3,3'-bi-9H-carbazolewith a purity by weight of 95 % or more / 3-Amino-3-azabicyclooctane hydrochloride / pyrrole-2-carboxaldehydewith a purity by weight of 97 % or more / 1,2,3-Benzotriazole / tolytriazole / 2-benzotriazol-2-yl-4,6-di-tert-butylphenol / 2--4--6- phenol / carfentrazone-ethyl with a purity by weight of 90 % or more)","Heterocyclic compounds with nitrogen hetero-atom(s) only (excluding compounds containing an unfused pyrazole ringin the structure / compounds containing an unfused imidazole ringin the structure / compounds containing an unfused pyridine ringin the structure / compounds containing in the structure a quinoline or isoquinoline ring-system , not further fused / compounds containing a pyrimidine ringor piperazine ring in the structure / compounds containing an unfused triazine ringin the structure / lactams) (excluding alprazolam , camazepam , chlordiazepoxide , clonazepam , clorazepate, delorazepam , diazepam , estazolam , ethyl loflazepate , fludiazepam , flunitrazepam , flurazepam , halazepam , lorazepam , lormetazepam , mazindol , medazepam , midazolam , nimetazepam , nitrazepam , nordazepam , oxazepam , pinazepam , prazepam , pyrovalerone , temazepam , tetrazepamand triazolam ; salts thereof / azinphos-methyl) (excluding indole, 3-methylindole , 6-allyl-6,7-dihydro-5H-dibenz[c,e]azepine , phenindamineand their salts; imipramine hydrochloride / 2,4-Di-tert-butyl-6-phenol)",60
2934100090_80,Other,"Compounds containing an unfused thiazole ring (whether or not hydrogenated) in the structure (excluding hexythiazox / 4-Nitrophenyl thiazol-5-ylmethyl carbonate / 2-ethanol / -Ethyl-2-methyl)-3-methylureido)-4-morpholinobutanoate oxalate / -N-methylmethanamine dihydrochloride / 2-Cyanimino-1,3-thiazolidine / fosthiazate)",Compounds containing an unfused thiazole ring (whether or not hydrogenated) in the structure,7
2934208090_80,Other,"Other than di(benzothiazol-2-yl)disulphide; benzothiazole-2-thiol (mercaptobenzothiazole) and its salts (excluding benthiavalicarb-isopropyl / 1,2-Benzisothiazol-3-onein the form of a powder with a purity by weight of 95 % or more, or in an aqueous mixture containing by weight 20 % or more of 1,2-benzisothiazol-3-one / benzothiazol-2-yl--2-trityloxyimino-2--thioacetate / n,N-Bis-2-methylpropan-2-amine)",Other than di(benzothiazol-2-yl)disulphide; benzothiazole-2-thiol (mercaptobenzothiazole) and its salts,4
2934910000_10,Other,"Nucleic acids and their salts, whether or not chemically defined; other heterocyclic compounds (excluding compounds containing an unfused thiazole ringin the structure / compounds containing in the structure a benzothiazole ring-system , not further fused / compounds containing in the structure a phenothiazine ring-system , not further fused)","Nucleic acids and their salts, whether or not chemically defined; other heterocyclic compounds",3
2934990000_80,Other,"Nucleic acids and their salts, whether or not chemically defined; other heterocyclic compounds (excluding compounds containing an unfused thiazole ringin the structure / compounds containing in the structure a benzothiazole ring-system , not further fused / compounds containing in the structure a phenothiazine ring-system , not further fused) (excluding aminorex , brotizolam , clotiazepam , cloxazolam , dextromoramide , haloxazolam , ketazolam , mesocarb , oxazolam , pemoline , phendimetrazine , phenmetrazineand sufentanil ; salts thereof / other fentanyls and their derivatives)","Nucleic acids and their salts, whether or not chemically defined; other heterocyclic compounds (excluding compounds containing an unfused thiazole ringin the structure / compounds containing in the structure a benzothiazole ring-system , not further fused / compounds containing in the structure a phenothiazine ring-system , not further fused)",2
2934999090_80,Other,"Other than chlorprothixene (INN); thenalidine (INN) and its tartrates and maleates; furazolidone (INN); 7-aminocephalosporanic acid; salts and esters of (6R,7R)-3-acetoxymethyl-7-[(R)-2-formyloxy-2-phenylacetamido]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid; 1-[2-(1,3-dioxan-2-yl)ethyl]-2-methylpyridinium bromide (excluding fluralaner / dimethomorph / carboxin / difenoconazole / -4--1,4-oxazepane-2-carboxylic acidwith a purity by weight of 95 % or more / thiophene / acesulfame potassium -one 2,2-dioxide; CAS RN 55589-62-3) ace-K / bromuconazolewith a purity by weight of 96 % or more / flufenacet with a purity by weight of 95 % or more / 2,4-Diethyl-9H-thioxanthen-9-one / 4-Methylmorpholine 4-oxide in an aqueous solution / 2--1-benzothiophene-6-ol / 11-dibenzo[b,f][1,4]thiazepine dihydrochloride / -tert-butyl 4-benzyl-2-methyl-5--3-methylmorpholino)methyl)piperazine-1-carboxylatewith a purity by weight of 98 % or more / dibenzo[b,f][1,4]thiazepin-11-one / -5--yl)-2-methyl)-4,4-difluorotetrahydrofuran-3-yl benzoatewith a purity by weight of 98 % or more / 4-Propan-2-ylmorpholine / 4--9H-carbazole / 2,3-Pyrazinedicarboxylic anhydridewith a purity by weight of 95 % or more / 11-[4--1-piperazinyl]dibenzothiazepine / 1-prop-2-en-1-one / fludioxonil with a purity by weight of 99 % or more / propiconazole with a purity by weight of 92 % or more / propan-2-ol -- 2-methyl-4--10H-thieno[2,3-b][1,5]benzodiazepinedihydrate, / cytidine 5'- / epoxiconazole / 2-benzyl-2-dimethylamino-4'-morpholinobutyrophenone / uridinewith a purity by weight of 98 % or more / 1-[5--4,5-dihydro-1,2-oxazol-3-yl]ethanone / -7-Amino-8-oxo-3--5-thia-1 -azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid / dimethenamide-P / dolutegravir or dolutegravir sodium / dL-Homocysteine thiolactone hydrochloride / 5-valeric acid / -2--16-androstane-3,17-diol 17-acetate / -2--16-androstane-3,17-diol / 2-Bromo-5-benzoylthiophene / benzo[b]thiophen-10-methoxycycloheptanonewith a purity by weight of 98 % or more / tetrahydrothiophene-1,1-dioxide / 5-Chlorothiophene-2-carboxylic acid / afatinib dimaleate / 3-methyl-5-benzo[d]oxazol-2-onewith a purity by weight of 95 % or more / 1,3,4-thiadiazolidine-2,5-dithionewith a purity by weight of 95 % or more / tetrahydrouridine / 2-Isopropylthioxanthone / -1,1-Dimethylethyl-6-[2[2--5--3-phenyl-4-[carbonyl]-1H-pyrrol-1-yl]ethyl]-2,2-dimethyl-1,3-dioxane-4-acetate / 2,5-Thiophenediylbis / tazemetostat with a purity by weight of 99 % or more and its salts / [-6-Hydroxy-2,2-dimethyltetrahydrofuro[2,3-d][1,3]dioxol-5-yl] methanone / thiophen-2-ethanol / 2--2-[methyl]-1-[4-phenyl]butan-1-one / 1--5--2,3-dihydropyridin-6-onewith a purity by weight of 98 % or more / rel--11-Chloro-2,3,3a,12b-tetrahydro-2-methyl-1H-dibenz[2,3:6,7]oxepino[4,5-c]pyrrol-1-onewith a purity by weight of 97 % or more / flumioxazin of a purity by weight of 96 % or more / etoxazole of a purity by weight of 94,8 % or more / gilteritinib with a purity by weight of 98 % or more and its salts / dithianon / 2,2'-bis / -7-methyl)octahydropyrazino[2,1-c][1,4]oxazine dioxalate)","Other than chlorprothixene (INN); thenalidine (INN) and its tartrates and maleates; furazolidone (INN); 7-aminocephalosporanic acid; salts and esters of (6R,7R)-3-acetoxymethyl-7-[(R)-2-formyloxy-2-phenylacetamido]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid; 1-[2-(1,3-dioxan-2-yl)ethyl]-2-methylpyridinium bromide",59
2935900000_80,Other,Sulphonamides (excluding n-Methylperfluorooctane sulphonamide / n-Ethylperfluorooctane sulphonamide / n-Ethyl-N- perfluorooctane sulphonamide / n--N-methylperfluorooctane sulphonamide / other perfluorooctane sulphonamides),Sulphonamides,5
2935909099_80,Other,"Other than 3-{1-[7-(Hexadecylsulphonylamino)-1H-indole-3-yl]-3-oxo-1H,3H-naphtho[1,8-cd]pyran-1-yl}-N,N-dimethyl-1H-indole-7-sulphonamide; metosulam (ISO) (excluding florasulam / flupyrsulfuron-methyl-sodium / 4-Amino-2,5-dimethoxy-N-methylbenzenesulfonamidewith a purity by weight of 98 % or more / 4-Amino-2,5-dimethoxy-N-phenylbenzenesulphonamidewith a purity by weight of 98 % or more / toluenesulphonamides / encorafenib with a purity by weight of 99 % or more / n-[4-phenyl]methanesulphonamide / triflusulfuron-methyl / methyl -7-{4--6-isopropyl-2-[methylamino]pyrimidin-5-yl}-3,5-dihydroxyhept-6-enoate / n-Fluorobenzenesulphonimide / 6-Aminopyridine-2-sulfonamide / 4-Chloro-3-pyridinesulphonamide / chlorsulfuron / 1,3-Dimethyl-1H-pyrazole-4-sulfonamide / venetoclax / penoxsulam / oryzalin / 4-[2--yl)ethyl]bezenesulphonamidewith a purity by weight of 99,5 % or more / rimsulfuron / halosulfuron-methyl with a purity by weight of 98 % or more / -7-[4--2-[methylamino]-6-pyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid -- 1-[-methyl]piperazine , / 4,4'-Oxydi / 2,4-Dichloro-5-sulphamoylbenzoic acid / propoxycarbazone-sodium with a purity by weight of 95 % or more / thifensulfuron-methyl / n--N'-phenyl)urea / n-{2-[amino]phenyl}benzenesulphonamide / flazasulfuron with a purity of 94 % by weight or more / 4-[amino]pyridine-3-sulfonamide / nicosulphuron ,of a purity by weight of 91 % or more / tribenuron-methyl / -4-hydroxy-2--3,4-dihydro-2H-thieno[3,2-e]thiazine-6-sulfonamide-1,1-dioxidewith a purity by weight of 97 % or more / -2-Benzyl-N,N-dimethylaziridine-1-sulfonamide / metsulfuron-methyl / 4-[[amino]sulfonyl]benzoyl chloride / 4-Chloro-3-sulphamoylbenzoic acidwith a purity by weight of 97 % or more / n-[4-phenyl]methanesulphonamide hydrochloride / n-ethyl)methanesulphonamide sesquisulphate monohydrate / 3--N,N-dimethyl-1,2,4-triazol-1-sulphonamide / 2,4,4-trimethylpentan-2-aminium -7-{2-[amino]-4--6-pyrimidin-5-yl}-3,5-dihydroxyhept-6-enoate)","Other than 3-{1-[7-(Hexadecylsulphonylamino)-1H-indole-3-yl]-3-oxo-1H,3H-naphtho[1,8-cd]pyran-1-yl}-N,N-dimethyl-1H-indole-7-sulphonamide; metosulam (ISO)",40
2937190000_80,Other,"Polypeptide hormones, protein hormones and glycoprotein hormones, their derivatives and structural analogues (excluding somatotropin, its derivatives and structural analogues / insulin and its salts)","Polypeptide hormones, protein hormones and glycoprotein hormones, their derivatives and structural analogues",2
2937290000_80,Other,"Steroidal hormones, their derivatives and structural analogues (excluding cortisone, hydrocortisone, prednisoneand prednisolone / halogenated derivatives of corticosteroidal hormones / oestrogens and progestogens)","Steroidal hormones, their derivatives and structural analogues",3
2937900000_80,Other,"Hormones, prostaglandins, thromboxanes and leukotrienes, natural or reproduced by synthesis; derivatives and structural analogues thereof, including chain modified polypeptides, used primarily as hormones (excluding polypeptide hormones, protein hormones and glycoprotein hormones, their derivatives and structural analogues / steroidal hormones, their derivatives and structural analogues / prostaglandins, thromboxanes and leukotrienes, their derivatives and structural analogues)","Hormones, prostaglandins, thromboxanes and leukotrienes, natural or reproduced by synthesis; derivatives and structural analogues thereof, including chain modified polypeptides, used primarily as hormones",3
2938909000_80,Other,Other than rutoside (rutin) and its derivatives (excluding digitalis glycosides / glycyrrhizic acid and glycyrrhizates),Other than rutoside (rutin) and its derivatives,2
2938909090_80,Other,Other than rutoside (rutin) and its derivatives (excluding digitalis glycosides / glycyrrhizic acid and glycyrrhizates) (excluding hesperidin / ethylvanillin beta-D-glucopyranoside / rebaudioside A / purified steviol glycoside with a rebaudioside Mcontent of 80 % or more but not more than 90 % by weight for use in the manufacture of non-alcoholic beverages),Other than rutoside (rutin) and its derivatives (excluding digitalis glycosides / glycyrrhizic acid and glycyrrhizates),4
2939490000_80,Other,"Alkaloids of ephedra and their derivatives; salts thereof (excluding ephedrine and its salts / pseudoephedrineand its salts / cathineand its salts / norephedrine and its salts / levometamfetamine, metamfetamine , metamfetamine racemate and their salts)",Alkaloids of ephedra and their derivatives; salts thereof,5
2939690000_80,Other,Alkaloids of rye ergot and their derivatives; salts thereof (excluding ergometrineand its salts / ergotamineand its salts / lysergic acid and its salts),Alkaloids of rye ergot and their derivatives; salts thereof,3
2939799090_80,Other,"Other than nicotine and its salts, ethers, esters and other derivatives thereof (excluding --chloroephedrine CAS No 110925-64-9 / --chloroephedrine CAS No 1384199-95-4 / --chloropseudoephedrine CAS No 73393-61-0 / --chloropseudoephedrine CAS No 771434-80-1 / 1-Alpha-H,5-alpha-H-Nortropan-3-alpha-olwith a purity by weight of 99 % or more / 4-Methyl-2-pyridylaminewith a purity by weight of 98 % or more)","Other than nicotine and its salts, ethers, esters and other derivatives thereof",6
2939800000_80,Other,"Alkaloids, natural or reproduced by synthesis, and their salts, ethers, esters and other derivatives (excluding alkaloids of opium and their derivatives; salts thereof / alkaloids of cinchona and their derivatives; salts thereof / caffeine and its salts / alkaloids of ephedra and their derivatives; salts thereof / theophylline and aminophyllineand their derivatives; salts thereof / alkaloids of rye ergot and their derivatives; salts thereof / other, of vegetal origin)","Alkaloids, natural or reproduced by synthesis, and their salts, ethers, esters and other derivatives",7
2940000080_80,Other,"Other than rhamnose, raffinose and mannose (excluding d-Xylose / d- Trehalose dihydrate / 2,3,4,6-Tetrakis-O--D-galactopyranose)","Other than rhamnose, raffinose and mannose",3
2941900000_80,Other,Antibiotics (excluding penicillins and their derivatives with a penicillanic acid structure; salts thereof / streptomycins and their derivatives; salts thereof / tetracyclines and their derivatives; salts thereof / chloramphenicol and its derivatives; salts thereof / erythromycin and its derivatives; salts thereof),Antibiotics,5
3002490000_80,Other,"Vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products (excluding vaccines for human medicine / vaccines for veterinary medicine)","Vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products",2
3002900000_80,Other,"Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products; cell cultures, whether or not modified (excluding antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes / vaccines, toxins, cultures of micro-organismsand similar products / cell cultures, whether or not modified)","Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products; cell cultures, whether or not modified",3
